Country Name,Country Code,Indicator Name,Indicator Code,..,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.982006126,8.229775327,5.796026244,5.727836138,4.532218408,3.361231555,12.18148193,18.6034296,17.30141223,17.09748774,6.338407581,..,..,..,..,..,..,..
Australia,AUS,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.898684018,1.800863615,1.879314046,1.731230567,1.513903676,1.279713629,1.365827653,1.217377622,1.222912431,1.209805033,1.044300776,..,..,..,..,..,..,..
Austria,AUT,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.016200214,0.8644378659,0.7990743523,0.6115570585,0.7180406496,0.6542559958,0.7362939189,0.5414000823,0.695572668,0.6093162301,0.6896593547,..,..,..,..,..,..,..
Azerbaijan,AZE,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.78231203,2.659419058,2.561309844,2.188639431,2.379012987,2.248610605,2.201572502,2.166361924,2.176399935,..,2.280664054,..,..,..,..,..,..,..
Burundi,BDI,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.152326326,4.429245222,3.958056013,..,..,..,..,..,..,..
Belgium,BEL,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.061849053,2.732817916,3.077699367,2.207498739,2.557223359,2.095405222,2.081064134,1.972361697,1.88326136,1.74028502,1.727804274,..,..,..,..,..,..,..
Benin,BEN,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.314070029,..,..,..,..,7.186413893,..,..,..,..,6.568058715,..,..,..,..,..,..,..
Burkina Faso,BFA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6345022818,0.6400823857,0.5985924329,0.4693810801,0.4989450927,0.6595555816,0.7352077227,0.5085496106,0.5959545452,..,..,..,..,..,..,..
Bangladesh,BGD,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.540635674,2.742582872,2.564409147,2.496780998,2.761354,2.504338302,2.86583009,2.625405219,2.754596672,2.804166155,2.621113071,..,..,..,..,..,..,..
Bulgaria,BGR,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.151148311,3.883717464,3.24176471,3.165091831,3.151125933,2.589876861,2.439357379,2.339119769,2.290178689,2.01179448,1.998760228,..,..,..,..,..,..,..
Bahrain,BHR,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.290231941,1.08821625,0.3852520383,0.8435279714,0.4498587444,0.7303733042,0.3861410129,0.5383145372,1.097019567,0.8864805272,..,..,..,..,..,..,..
Bahamas,BHS,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.8413844,14.18509905,16.81993291,15.83551336,13.64231101,15.79351798,18.163952,22.7851651,20.93634205,24.51698717,26.05090458,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.628291138,2.174325773,2.383596407,..,1.798329511,1.851102596,1.93148877,1.748807631,1.753640598,1.89507124,1.504533482,..,..,..,..,..,..,..
Belarus,BLR,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.19770357,9.814684774,10.08449769,9.024590623,8.422116913,8.574508268,7.665761919,6.805172015,5.690345692,5.133752165,4.233051774,..,..,..,..,..,..,..
Belize,BLZ,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.57804824,25.09961409,33.18001876,24.89503214,28.61396144,28.59392044,31.64263088,32.50593987,33.64199043,30.8987064,40.11094251,..,..,..,..,..,..,..
Bermuda,BMU,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,4.663961569,1.547748027,3.083089255,1.536924614,3.070781514,4.610915574,4.623066017,7.736943907,9.330824378,10.9450247,..,..,..,..,..,..,..
Bolivia,BOL,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.238121382,5.192100166,8.155532141,8.625130275,8.392470018,12.83493587,..,..,..,..,..,..,..
Brazil,BRA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.72957362,24.73954663,25.30378561,25.66147675,24.02267725,23.3496643,23.85354439,23.36061646,23.77719498,22.84192642,21.98822174,..,..,..,..,..,..,..
Barbados,BRB,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.411607318,9.235827623,9.208849336,12.12085595,8.055922751,10.58359397,12.72546802,9.053050878,8.293697871,6.822997091,11.08849694,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.200332492,..,..,0.8489228584,0.5562926433,0.5477081154,0.8102633356,0.8002902386,0.2636769219,0.7817141428,0.2572929692,..,..,..,..,..,..,..
Bhutan,BTN,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.139082272,3.222523745,3.13325055,0.802009515,2.34271774,1.675197483,1.338831468,2.037970298,2.567943505,2.239459842,2.198886539,..,..,..,..,..,..,..
Botswana,BWA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.13720166,14.32622097,17.29165085,14.15818906,15.68012967,13.85175333,14.62588552,14.43727262,14.59682951,15.0382209,..,..,..,..,..,..,..
Central African Republic,CAF,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.776431652,1.785672153,1.858184804,1.735814365,1.956217229,2.05649285,1.862432239,1.807998878,1.838073067,1.80527686,1.627221758,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Switzerland,CHE,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9627123374,1.193999182,1.187203492,1.001111783,1.061622129,1.01210368,0.8019881822,0.6745712306,0.7062411973,0.6591565046,0.6639452572,..,..,..,..,..,..,..
Channel Islands,CHI,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6481133421,1.286910193,..,0.6345942722,..,0,..,..,..,..,..,..,..
Chile,CHL,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.246929563,..,3.567211971,3.615242155,3.735215203,3.529000401,3.743439622,3.183597541,..,..,..,..,..,..,..
China,CHN,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.093040065,2.009318462,2.023337255,1.867272454,1.880582905,1.571551971,1.352157466,1.20578949,1.10166857,1.084782645,0.9862070001,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.06773427,..,..,..,..,14.70498526,..,..,..,..,12.62864609,..,..,..,..,..,..,..
Cameroon,CMR,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.005060679,4.817531373,6.409743905,6.067644425,..,..,..,..,4.104298258,6.571451464,5.002379761,..,..,..,..,..,..,..
Dem. Rep. of the Congo,COD,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.05687,..,..,..,..,14.64962477,..,..,..,..,14.27807775,..,..,..,..,..,..,..
Rep. of the Congo,COG,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.334709,..,..,..,..,10.63963123,..,..,..,..,9.867432595,..,..,..,..,..,..,..
Colombia,COL,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.68415896,67.92081243,68.28313463,55.80498134,47.30344278,41.84067166,39.87387273,38.75643015,35.94531181,34.82679444,33.66646488,..,..,..,..,..,..,..
Comoros,COM,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.36277285,..,..,..,..,9.537281418,..,..,..,..,8.529913431,..,..,..,..,..,..,..
Cabo Verde,CPV,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.259827838,4.490403367,9.271609699,7.279609813,5.961705294,6.914462004,7.646444504,7.762986082,..,..,..,..,..,..,..
Costa Rica,CRI,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.343233108,6.430147333,6.349668882,7.27101572,6.687304964,7.886359212,8.146130913,8.444962077,11.55884581,11.6971755,11.59444523,..,..,..,..,..,..,..
Caribbean small states,CSS,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cuba,CUB,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.264226505,5.408284347,5.892316971,5.709262478,5.857845532,6.061544349,5.099044965,5.024909129,4.553591528,4.991782554,4.45599336,..,..,..,..,..,..,..
Curacao,CUW,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.67595201,30.27268705,33.58823943,31.9920098,20.0936674,13.64690898,19.18847511,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.595317485,4.617231508,0,6.517771791,10.57104801,6.170046481,1.998760768,3.884777499,7.557722103,14.73866505,16.21417119,..,..,..,..,..,..,..
Cyprus,CYP,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8480990919,0.7289525369,0.2047154149,1.409070185,1.583515603,1.946172754,1.434707879,1.222135315,0.8321290577,1.730299178,0.7190319673,..,..,..,..,..,..,..
Czech Republic,CZE,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.759058715,1.382505887,1.453312719,1.591909273,1.308653048,1.052818747,1.262345741,1.216617136,1.093651697,0.8963611077,0.9775740712,..,..,..,..,..,..,..
Germany,DEU,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.245585886,1.134470325,1.170172946,1.051581415,1.062219911,1.064022126,0.9909204097,0.9306104287,0.8899193876,0.9917790778,0.9802856884,..,..,..,..,..,..,..
Djibouti,DJI,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.939955749,..,..,..,..,8.106186611,..,..,..,..,7.415197036,..,..,..,..,..,..,..
Dominica,DMA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.870428842,1.435338022,12.88955087,11.4134079,11.3670271,11.32711286,7.061448727,9.866102889,9.848889889,18.25099328,20.99664054,..,..,..,..,..,..,..
Denmark,DNK,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08589952,0.9705001547,1.042286882,1.20661567,0.795889361,0.9775528054,0.5326668997,0.7129854951,0.9822119595,0.8504559982,0.7560968409,..,..,..,..,..,..,..
Dominican Republic,DOM,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.13118552,12.59036606,14.48096387,21.20930979,24.59629234,25.91591768,22.87826989,22.21087537,24.84299311,24.31468921,24.99498635,..,..,..,..,..,..,..
Algeria,DZA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.00595528,1.367605882,0.6128254084,0.9236804581,0.7900857129,0.9408871849,0.7810350039,0.7032575248,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.51467764,12.89995802,14.58071643,14.57530591,17.6910618,15.44203873,17.07537795,16.00089768,18.04456697,17.86774803,17.56313656,..,..,..,..,..,..,..
Egypt,EGY,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6366418443,0.4271582492,0.6798809385,0.7024138779,0.8549452921,1.194507278,1.10592343,2.186484775,..,..,..,..,..,..,..
Euro area,EMU,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.876460365,..,..,..,..,9.619670245,..,..,..,..,8.867043671,..,..,..,..,..,..,..
Spain,ESP,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.351955572,1.393985708,1.343320269,1.376208971,1.199492486,1.176133161,1.064269062,1.061817658,0.884824811,0.8864776696,0.857045825,..,..,..,..,..,..,..
Estonia,EST,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.2207686,9.843870466,10.26952439,10.70719181,6.673682589,8.33549712,6.744252748,7.14247451,6.419290116,5.240187748,5.254852857,..,..,..,..,..,..,..
Ethiopia,ETH,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.69071411,..,..,..,..,9.402390714,..,..,..,..,8.458941101,..,..,..,..,..,..,..
European Union,EUU,Intentional homicides (per 100,000 people),VC.IHR.PSRC.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
